0,1,2,3,4,5,6,8
nan,nan,2023,nan,2022,nan,2023,2022
Common stock and paid-in capital,nan,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"90,225",$,"84,528",$,"86,939  $","83,111"
Common stock issued,nan,536,nan,477,nan,"1,354","1,380"
Common stock repurchased,nan,"(1,133 )",nan,"(1,313 )",nan,"(3,394 )","(4,401 )"
Stock-based compensation expense,nan,"2,465",nan,"1,906",nan,"7,195","5,505"
"Other, net",nan,0,nan,169,nan,(1 ),172
"Balance, end of period",nan,"92,093",nan,"85,767",nan,"92,093","85,767"
Retained earnings,nan,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",nan,"99,368",nan,"75,045",nan,"84,281","57,055"
Net income,nan,"18,299",nan,"16,728",nan,"52,280","55,998"
Common stock cash dividends,nan,"(5,053 )",nan,"(4,634 )",nan,"(15,176 )","(13,931 )"
Common stock repurchased,nan,"(4,380 )",nan,"(7,506 )",nan,"(13,151 )","(19,489 )"
"Balance, end of period",nan,"108,234",nan,"79,633",nan,"108,234","79,633"
Accumulated other comprehensive loss,nan,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",nan,"(6,457 )",nan,437,nan,"(4,678 )","1,822"
Other comprehensive income (loss),nan,813,nan,"(2,913 )",nan,(966 ),"(4,298 )"
"Balance, end of period",nan,"(5,644 )",nan,"(2,476 )",nan,"(5,644 )","(2,476 )"
Total stockholders’ equity,$,"194,683",$,"162,924",$,"194,683  $","162,924"
Cash dividends declared per common share,$,0.68,$,0.62,$,2.04  $,1.86
