0,1,2,3,4,5
Fiscal Year,nan,2023,nan,nan,2022
First Quarter 17,$,"4,600",21,$,"6,200"
Second Quarter 20,nan,"4,600",20,nan,"6,233"
Third Quarter 18,nan,"4,600",26,nan,"7,800"
Total 55,$,"13,800",67,$,"20,233"
All repurchases were made using cash resources. Shares repurchased during fiscal year 2023 and the third quarter of,nan,nan,nan,nan,nan
"fiscal year 2022 were under the share repurchase program approved on September 14, 2021. Shares repurchased",nan,nan,nan,nan,nan
during the second quarter of fiscal year 2022 were under the share repurchase programs approved on both September,nan,nan,nan,nan,nan
"14, 2021 and September 18, 2019. Shares repurchased during the first quarter of fiscal year 2022 were under the",nan,nan,nan,nan,nan
"share repurchase program approved on September 18, 2019. The above table excludes shares repurchased to settle",nan,nan,nan,nan,nan
employee tax withholding related to the vesting of stock awards of $909 million and $2.7 billion for the three and nine,nan,nan,nan,nan,nan
"months ended March 31, 2023, respectively, and $1.0 billion and $3.7 billion for the three and nine months ended",nan,nan,nan,nan,nan
"March 31, 2022, respectively.",nan,nan,nan,nan,nan
Dividends,nan,nan,nan,nan,nan
Our Board of Directors declared the following dividends:,nan,nan,nan,nan,nan
nan,nan,nan,Dividend,nan,nan
Declaration Date Record Date Payment Date,nan,nan,Per Share,nan,Amount
Fiscal Year 2023,nan,nan,nan,(In millions),nan
"September 20, 2022 November 17, 2022 December 8, 2022",nan,$,0.68  $,nan,"5,066"
"November 29, 2022 February 16, 2023 March 9, 2023",nan,nan,0.68,nan,"5,059"
"March 14, 2023 May 18, 2023 June 8, 2023",nan,nan,0.68,nan,"5,057"
Total,nan,$,2.04  $,nan,"15,182"
Fiscal Year 2022,nan,nan,nan,nan,nan
"September 14, 2021 November 18, 2021 December 9, 2021",nan,$,0.62  $,nan,"4,652"
"December 7, 2021 February 17, 2022 March 10, 2022",nan,nan,0.62,nan,"4,645"
"March 14, 2022 May 19, 2022 June 9, 2022",nan,nan,0.62,nan,"4,632"
Total,nan,$,1.86  $,nan,"13,929"
