0,1,2,3,4,6,7
(In millions),nan,nan,nan,2023,nan,2022
Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,nan,$,"1,492  $",nan,635
Interest rate contracts purchased,nan,nan,nan,"1,108",nan,"1,139"
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,nan,nan,"10,232",nan,"10,322"
Foreign exchange contracts sold,nan,nan,nan,"20,460",nan,"21,606"
Other contracts purchased,nan,nan,nan,"4,787",nan,"2,773"
Other contracts sold,nan,nan,nan,"2,952",nan,544
Fair Values of Derivative Instruments,nan,nan,nan,nan,nan,nan
The following table presents our derivative instruments:,nan,nan,nan,nan,nan,nan
nan,Derivative,nan,Derivative,Derivative,nan,Derivative
(In millions),Assets,nan,Liabilities,Assets,nan,Liabilities
nan,nan,nan,"March 31,",nan,nan,"June 30,"
nan,nan,nan,2023,nan,nan,2022
Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan
Foreign exchange contracts $,19,$,(77 ),$ 0,$,(77 )
Interest rate contracts,6,nan,0,3,nan,0
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan,nan
Foreign exchange contracts,278,nan,(333 ),333,nan,(362 )
Other contracts,217,nan,(311 ),20,nan,(112 )
Gross amounts of derivatives,520,nan,(721 ),356,nan,(551 )
Gross amounts of derivatives offset in the balance sheet,(265 ),nan,263,(130 ),nan,133
Cash collateral received,0,nan,(26 ),0,nan,(75 )
Net amounts of derivatives $,255,$,(484 ),$ 226,$,(493 )
Reported as,nan,nan,nan,nan,nan,nan
Short-term investments $,8,$,0,$ 8,$,0
Other current assets,243,nan,0,218,nan,0
Other long-term assets,4,nan,0,0,nan,0
Other current liabilities,0,nan,(188 ),0,nan,(298 )
Other long-term liabilities,0,nan,(296 ),0,nan,(195 )
Total $,255,$,(484 ),$ 226,$,(493 )
Gross derivative assets and liabilities subject to legally enforceable master netting agreements for which we have,nan,nan,nan,nan,nan,nan
"elected to offset were $496 million and $720 million, respectively, as of March 31, 2023, and $343 million and $550",nan,nan,nan,nan,nan,nan
"million, respectively, as of June 30, 2022.",nan,nan,nan,nan,nan,nan
The following table presents the fair value of our derivatives instruments on a gross basis:,nan,nan,nan,nan,nan,nan
(In millions),Level 1,nan,Level 2,Level 3,nan,Total
"March 31, 2023",nan,nan,nan,nan,nan,nan
Derivative assets $,4,$,507,$ 9,$,520
Derivative liabilities,0,nan,(721 ),0,nan,(721 )
"June 30, 2022",nan,nan,nan,nan,nan,nan
Derivative assets,1,nan,349,6,nan,356
Derivative liabilities,0,nan,(551 ),0,nan,(551 )
