0,2,3,5,6,7
nan,2023,2022,nan,2023,2022
Interest and dividends income $,748  $,519,$,"2,089  $","1,542"
Interest expense,(496 ),(503 ),nan,"(1,486 )","(1,567 )"
Net recognized gains (losses) on investments,105,(76 ),nan,103,595
Net losses on derivatives,(65 ),(29 ),nan,(255 ),(29 )
Net gains (losses) on foreign currency remeasurements,122,(74 ),nan,26,(152 )
"Other, net",(93 ),(11 ),nan,(162 ),(9 )
Total $,321  $,(174 ),$,315  $,380
Net Recognized Gains (Losses) on Investments,nan,nan,nan,nan,nan
Net recognized gains (losses) on debt investments were as follows:,nan,nan,nan,nan,nan
nan,Three Months Ended,nan,nan,Nine Months Ended,nan
(In millions),nan,"March 31,",nan,nan,"March 31,"
nan,2023,2022,nan,2023,2022
Realized gains from sales of available-for-sale securities $,4  $,119,$,19  $,150
