0,1,2,3,4,5,6,7
nan,nan,2023,2022,nan,2023,nan,2022
Revenue,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"17,516  $","15,789",$,"50,983",$,"46,764"
Intelligent Cloud,nan,"22,081","18,987",nan,"63,914",nan,"54,161"
More Personal Computing,nan,"13,260","14,584",nan,"40,829",nan,"45,480"
Total,$,"52,857  $","49,360",$,"155,726",$,"146,405"
Operating Income,nan,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"8,639  $","7,185",$,"25,137",$,"22,454"
Intelligent Cloud,nan,"9,476","8,391",nan,"27,358",nan,"24,395"
More Personal Computing,nan,"4,237","4,788",nan,"11,774",nan,"16,000"
Total,$,"22,352  $","20,364",$,"64,269",$,"62,849"
No sales to an individual customer or country other than the United States accounted for more than 10% of revenue fo,nan,nan,nan,nan,nan,nan,nan
"the three or nine months ended March 31, 2023 or 2022. Revenue, classified by the major geographic areas in whic",nan,nan,nan,nan,nan,nan,nan
"our customers were located, was as follows:",nan,nan,nan,nan,nan,nan,nan
nan,nan,Three Months Ended,nan,nan,Nine Months Ended,nan,nan
(In millions),nan,nan,"March 31,",nan,nan,nan,"March 31,"
nan,nan,2023,2022,nan,2023,nan,2022
United States (a),$,"26,007 $","24,771",$,"78,850",$,"74,064"
Other countries,nan,"26,850","24,589",nan,"76,876",nan,"72,341"
Total,$,"52,857  $","49,360",$,"155,726",$,"146,405"
