0,1,2,3,4,5,6,7,8
nan,nan,"March 29,",nan,"March 30,",nan,"March 29,",nan,"March 30,"
nan,nan,2025,nan,2024,nan,2025,nan,2024
Numerator:,nan,nan,nan,nan,nan,nan,nan,nan
Net income,$,"24,780",$,"23,636",$,"61,110",$,"57,552"
Denominator:,nan,nan,nan,nan,nan,nan,nan,nan
Weighted-average basic shares outstanding,nan,"14,994,082",nan,"15,405,856",nan,"15,037,903",nan,"15,457,810"
Effect of dilutive share-based awards,nan,"62,051",nan,"58,853",nan,"65,596",nan,"62,865"
Weighted-average diluted shares,nan,"15,056,133",nan,"15,464,709",nan,"15,103,499",nan,"15,520,675"
Basic earnings per share,$,1.65,$,1.53,$,4.06,$,3.72
Diluted earnings per share,$,1.65,$,1.53,$,4.05,$,3.71
