0,1,2,3,4,5,6,7,8
nan,nan,"March 29,",nan,"March 30,",nan,"March 29,",nan,"March 30,"
nan,nan,2025,nan,2024,nan,2025,nan,2024
ricas:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"40,315",$,"37,273",$,"92,963",$,"87,703"
Operating income,$,"16,774",$,"15,074",$,"38,283",$,"35,431"
pe:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"24,454",$,"24,123",$,"58,315",$,"54,520"
Operating income,$,"10,316",$,"9,991",$,"24,923",$,"22,702"
ter China:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"16,002",$,"16,372",$,"34,515",$,"37,191"
Operating income,$,"6,626",$,"6,700",$,"14,786",$,"15,322"
n:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"7,298",$,"6,262",$,"16,285",$,"14,029"
Operating income,$,"3,434",$,"3,135",$,"7,748",$,"6,954"
of Asia Pacific:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"7,290",$,"6,723",$,"17,581",$,"16,885"
Operating income,$,"2,986",$,"2,806",$,"7,570",$,"7,385"
