0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"28,162",nan,$,"29,943"
Marketable securities,"20,336",nan,"35,228",nan,nan
"Accounts receivable, net","26,136",nan,"33,410",nan,nan
Vendor non-trade receivables,"23,662",nan,"32,833",nan,nan
Inventories,"6,269",nan,"7,286",nan,nan
Other current assets,"14,109",nan,"14,287",nan,nan
Total current assets,"118,674",nan,"152,987",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"84,424",nan,"91,479",nan,nan
"Property, plant and equipment, net","46,876",nan,"45,680",nan,nan
Other non-current assets,"81,259",nan,"74,834",nan,nan
Total non-current assets,"212,559",nan,"211,993",nan,nan
Total assets,$,"331,233",nan,$,"364,980"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"54,126",nan,$,"68,960"
Other current liabilities,"61,849",nan,"78,304",nan,nan
Deferred revenue,"8,976",nan,"8,249",nan,nan
Commercial paper,"5,982",nan,"9,967",nan,nan
Term debt,"13,638",nan,"10,912",nan,nan
Total current liabilities,"144,571",nan,"176,392",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"78,566",nan,"85,750",nan,nan
Other non-current liabilities,"41,300",nan,"45,888",nan,nan
Total non-current liabilities,"119,866",nan,"131,638",nan,nan
Total liabilities,"264,437",nan,"308,030",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 14,939,315 and 15,116,786 shares issued and outstanding, respectively","88,711",nan,"83,276",nan,nan
Accumulated deficit,"(15,552)",nan,"(19,154)",nan,nan
Accumulated other comprehensive loss,"(6,363)",nan,"(7,172)",nan,nan
Total shareholders’ equity,"66,796",nan,"56,950",nan,nan
Total liabilities and shareholders’ equity,$,"331,233",nan,$,"364,980"
