0,1,2,3,4,5,7
nan,nan,nan,Unrealize,nan,nan,Total
nan,nan,nan,d,Unrealized,Total,Unrealized
(In millions),Fair Value,nan,Losses  Fair Value,Losses,Fair Value,Losses
"June 30, 2023",nan,nan,nan,nan,nan,nan
U.S. government and,nan,nan,nan,nan,nan,nan
agency securities  $,"7,950",$,"(336)  $ 45,273","$ (3,534)  $ 53,223",nan,"$ (3,870)"
Foreign government bonds,77,nan,(5)391,(19),468,(24)
Mortgage- and asset-,nan,nan,nan,nan,nan,nan
backed securities,257,nan,(5)412,(34),669,(39)
Corporate notes and bonds,"2,326",nan,"(49)7,336",(534),"9,662",(583)
Municipal securities,111,nan,(3)186,(31),297,(34)
Total,"$ 10,721",$,"(398)  $ 53,598","$ (4,152)","$ 64,319","$ (4,550)"
nan,Less than 12 Months,nan,12 Months or Greater,nan,nan,nan
nan,nan,nan,nan,nan,nan,Total
nan,nan,nan,Unrealize,Unrealize,nan,Unrealize
nan,nan,nan,d,d,Total,d
(In millions),Fair Value,nan,Losses  Fair Value,Losses,Fair Value,Losses
"June 30, 2022",nan,nan,nan,nan,nan,nan
U.S. government and,nan,nan,nan,nan,nan,nan
agency securities,"$ 59,092",$,"(1,835)  $ 2,210",$ (352),"$ 61,302","$ (2,187)"
Foreign government bonds,418,nan,(18 )  27,(6 ),445,(24 )
Mortgage- and asset-,nan,nan,nan,nan,nan,nan
backed securities,510,nan,(26 )  41,(4 ),551,(30 )
Corporate notes and bonds,"9,443",nan,(477 )  786,(77 ),"10,229",(554 )
Municipal securities,178,nan,(12 )  74,(7 ),252,(19 )
Total,"$ 69,641",$,"(2,368)  $ 3,138",$ (446),"$ 72,779","$ (2,814)"
