0,1
Cash and cash equivalents $,766
Goodwill,"5,510"
Intangible assets,"1,968"
Other assets,121
Other liabilities,(244 )
Total $,"8,121"
Goodwill was assigned to our More Personal Computing segment. The goodwill was primarily attributed,nan
to increased synergies that are expected to be achieved from the integration of ZeniMax. None of the,nan
goodwill is expected to be deductible for income tax purposes.,nan
Following are details of the purchase price allocated to the intangible assets acquired:,nan
nan,Weighted
"(In millions, except average life) Amount",Average Life
"Technology-based $ 1,341",4 years
Marketing-related 627,11 years
"Total $ 1,968",6 years
