0,1,2,3
nan,nan,nan,Page
PART I,nan,nan,nan
nan,Item 1.,Business,4
nan,nan,Information about our Executive Officers,20
nan,Item 1A.,Risk Factors,23
nan,Item 1B.,Unresolved Staff Comments,37
nan,Item 2.,Properties,37
nan,Item 3.,Legal Proceedings,37
nan,Item 4.,Mine Safety Disclosures,37
PART II,nan,nan,nan
nan,Item 5.,"Market for Registrant’s Common Equity, Related Stockholder Matters, and",nan
nan,nan,Issuer Purchases of Equity Securities,38
nan,Item 6.,[Reserved],39
nan,Item 7.,Management’s Discussion and Analysis of Financial Condition and Results of,nan
nan,nan,Operations,40
nan,Item 7A.,Quantitative and Qualitative Disclosures about Market Risk,57
nan,Item 8.,Financial Statements and Supplementary Data,58
nan,Item 9.,Changes in and Disagreements with Accountants on Accounting and,nan
nan,nan,Financial Disclosure,99
nan,Item 9A.,Controls and Procedures,99
nan,nan,Report of Management on Internal Control over Financial Reporting,99
nan,nan,Report of Independent Registered Public Accounting Firm,100
nan,Item 9B.,Other Information,101
nan,Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,101
PART III,nan,nan,nan
nan,Item 10.,"Directors, Executive Officers, and Corporate Governance",101
nan,Item 11.,Executive Compensation,101
nan,Item 12.,Security Ownership of Certain Beneficial Owners and Management and,nan
nan,nan,Related Stockholder Matters,101
nan,Item 13.,"Certain Relationships and Related Transactions, and Director Independence",101
nan,Item 14.,Principal Accountant Fees and Services,101
PART IV,nan,nan,nan
nan,Item 15.,Exhibit and Financial Statement Schedules,102
nan,Item 16.,Form 10-K Summary,108
nan,nan,Signatures,109
