0,1,2,3,4,5,6
(In millions),nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2023,nan,2022,nan,2021
Operations,nan,nan,nan,nan,nan,nan
Net income,$,"72,361",$,"72,738",$,"61,271"
Adjustments to reconcile net income to net cash from,nan,nan,nan,nan,nan,nan
operations:,nan,nan,nan,nan,nan,nan
"Depreciation, amortization, and other",nan,"13,861",nan,"14,460",nan,"11,686"
Stock-based compensation expense,nan,"9,611",nan,"7,502",nan,"6,118"
Net recognized losses (gains) on investments and,nan,nan,nan,nan,nan,nan
derivatives,nan,196,nan,(409 ),nan,"(1,249 )"
Deferred income taxes,nan,"(6,059)",nan,"(5,702 )",nan,(150 )
Changes in operating assets and liabilities:,nan,nan,nan,nan,nan,nan
Accounts receivable,nan,"(4,087)",nan,"(6,834 )",nan,"(6,481 )"
Inventories,nan,"1,242",nan,"(1,123 )",nan,(737 )
Other current assets,nan,"(1,991)",nan,(709 ),nan,(932 )
Other long-term assets,nan,"(2,833)",nan,"(2,805 )",nan,"(3,459 )"
Accounts payable,nan,"(2,721)",nan,"2,943",nan,"2,798"
Unearned revenue,nan,"5,535",nan,"5,109",nan,"4,633"
Income taxes,nan,(358),nan,696,nan,"(2,309 )"
Other current liabilities,nan,"2,272",nan,"2,344",nan,"4,149"
Other long-term liabilities,nan,553,nan,825,nan,"1,402"
Net cash from operations,nan,"87,582",nan,"89,035",nan,"76,740"
Financing,nan,nan,nan,nan,nan,nan
Cash premium on debt exchange,nan,0,nan,0,nan,"(1,754 )"
Repayments of debt,nan,"(2,750)",nan,"(9,023 )",nan,"(3,750 )"
Common stock issued,nan,"1,866",nan,"1,841",nan,"1,693"
Common stock repurchased,nan,"(22,245)",nan,"(32,696)",nan,"(27,385)"
Common stock cash dividends paid,nan,"(19,800)",nan,"(18,135)",nan,"(16,521)"
"Other, net",nan,"(1,006)",nan,(863 ),nan,(769 )
Net cash used in financing,nan,"(43,935)",nan,"(58,876)",nan,"(48,486)"
Investing,nan,nan,nan,nan,nan,nan
Additions to property and equipment,nan,"(28,107)",nan,"(23,886)",nan,"(20,622)"
"Acquisition of companies, net of cash acquired, and",nan,nan,nan,nan,nan,nan
purchases of intangible and other assets,nan,"(1,670)",nan,"(22,038)",nan,"(8,909 )"
Purchases of investments,nan,"(37,651)",nan,"(26,456)",nan,"(62,924)"
Maturities of investments,nan,"33,510",nan,"16,451",nan,"51,792"
Sales of investments,nan,"14,354",nan,"28,443",nan,"14,008"
"Other, net",nan,"(3,116)",nan,"(2,825 )",nan,(922 )
Net cash used in investing,nan,"(22,680)",nan,"(30,311)",nan,"(27,577)"
Effect of foreign exchange rates on cash and cash,nan,nan,nan,nan,nan,nan
equivalents,nan,(194),nan,(141 ),nan,(29 )
Net change in cash and cash equivalents,nan,"20,773",nan,(293 ),nan,648
"Cash and cash equivalents, beginning of period",nan,"13,931",nan,"14,224",nan,"13,576"
"Cash and cash equivalents, end of period",$,"34,704",$,"13,931",$,"14,224"
