0,1,3,4,5,6
"Year Ended June 30,",2023,nan,2022,nan,2021
Operating lease cost  $,"2,875",$,"2,461",$,"2,127"
Finance lease cost:,nan,nan,nan,nan,nan
Amortization of right-of-use assets  $,"1,352",$,980,$,921
Interest on lease liabilities,501,nan,429,nan,386
Total finance lease cost  $,"1,853",$,"1,409",$,"1,307"
Supplemental cash flow information related to leases was as follows:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
Cash paid for amounts included in the measurement of lease,nan,nan,nan,nan,nan
liabilities:,nan,nan,nan,nan,nan
Operating cash flows from operating leases  $,"2,706",$,"2,368",$,"2,052"
Operating cash flows from finance leases,501,nan,429,nan,386
Financing cash flows from finance leases,"1,056",nan,896,nan,648
Right-of-use assets obtained in exchange for lease,nan,nan,nan,nan,nan
obligations:,nan,nan,nan,nan,nan
Operating leases,"3,514",nan,"5,268",nan,"4,380"
Finance leases,"3,128",nan,"4,234",nan,"3,290"
