0,1,2,3,4,5
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
Revenue,nan,nan,nan,nan,nan
Productivity and Business Processes $,"69,274",$,"63,364",$,"53,915"
Intelligent Cloud,"87,907",nan,"74,965",nan,"59,728"
More Personal Computing,"54,734",nan,"59,941",nan,"54,445"
"Total $211,915",nan,"$ 198,270",nan,"$ 168,088",nan
Operating Income,nan,nan,nan,nan,nan
Productivity and Business Processes $,"34,189",$,"29,690",$,"24,351"
Intelligent Cloud,"37,884",nan,"33,203",nan,"26,471"
More Personal Computing,"16,450",nan,"20,490",nan,"19,094"
Total $,"88,523",$,"83,383",$,"69,916"
No sales to an individual customer or country other than the United States accounted for more than 10,nan,nan,nan,nan,nan
"of revenue for fiscal years 2023, 2022, or 2021. Revenue, classified by the major geographic areas i",nan,nan,nan,nan,nan
"which our customers were located, was as follows:",nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
(a),nan,nan,nan,nan,nan
"United States $106,744",nan,"$ 100,218",nan,$,"83,953"
"Other countries  105,171",nan,nan,"98,052",nan,"84,135"
"Total $211,915",nan,"$ 198,270",nan,"$ 168,088",nan
