0,1,2,3,4,5
"Year Ended June 30,",2023,nan,2022,nan,2021
Designated as Fair Value Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan
Derivatives $,0,$,49,$,193
Hedged items,0,nan,(50 ),nan,(188 )
Excluded from effectiveness assessment,0,nan,4,nan,30
Interest rate contracts,nan,nan,nan,nan,nan
Derivatives,(65),nan,(92 ),nan,(37 )
Hedged items,38,nan,108,nan,53
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan
Amount reclassified from accumulated other comprehensive,nan,nan,nan,nan,nan
income,61,nan,(79 ),nan,17
Not Designated as Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,(73),nan,383,nan,27
Equity contracts,(420),nan,13,nan,(6 )
Other contracts,(41),nan,(85 ),nan,15
"Gains (losses), net of tax, on derivative instruments recognized in our consolidated comprehensive",nan,nan,nan,nan,nan
income statements were as follows:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
Designated as Cash Flow Hedging Instruments,nan,nan,nan,nan,nan
Foreign exchange contracts,nan,nan,nan,nan,nan
Included in effectiveness assessment  $,34,$,(57),$,34
NOTE 6 — INVENTORIES,nan,nan,nan,nan,nan
The components of inventories were as follows:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
