0,1,2,3,4
(In millions),nan,nan,nan,nan
"June 30,",nan,2023,nan,2022
Deferred Income Tax Assets,nan,nan,nan,nan
Stock-based compensation expense,$,681,$,601
"Accruals, reserves, and other expenses",nan,"3,131",nan,"2,874"
Loss and credit carryforwards,nan,"1,441",nan,"1,546"
(a),nan,nan,nan,nan
Amortization,nan,"9,440",nan,"10,183"
Leasing liabilities,nan,"5,041",nan,"4,557"
Unearned revenue,nan,"3,296",nan,"2,876"
Book/tax basis differences in investments and debt,nan,373,nan,0
(a),nan,nan,nan,nan
Capitalized research and development,nan,"6,958",nan,473
Other,nan,489,nan,461
Deferred income tax assets,nan,"30,850",nan,"23,571"
Less valuation allowance,nan,(939),nan,"(1,012 )"
"Deferred income tax assets, net of valuation allowance","$ 29,911",nan,$,"22,559"
Deferred Income Tax Liabilities,nan,nan,nan,nan
Book/tax basis differences in investments and debt,$,0,$,(174)
Leasing assets,nan,"(4,680)",nan,"(4,291 )"
Depreciation,nan,"(2,674)",nan,"(1,602 )"
Deferred tax on foreign earnings,nan,"(2,738)",nan,"(3,104 )"
Other,nan,(89),nan,(103 )
Deferred income tax liabilities,nan,"(10,18",nan,nan
nan,$,1),$,"(9,274)"
Net deferred income tax assets,"$ 19,730",nan,$,"13,285"
Reported As,nan,nan,nan,nan
Other long-term assets,"$ 20,163",nan,$,"13,515"
Long-term deferred income tax liabilities,nan,(433),nan,(230 )
Net deferred income tax assets,"$ 19,730",nan,$,"13,285"
