0,1,2,3
"Year Ended June 30,",2023,2022,2021
Federal statutory rate,21.0%,21.0%,21.0%
Effect of:,nan,nan,nan
Foreign earnings taxed at lower rates,(1.8)%,(1.3)%,(2.7)%
Impact of intangible property transfers,0%,(3.9)%,0%
Foreign-derived intangible income deduction,(1.3)%,(1.1)%,(1.3)%
"State income taxes, net of federal benefit",1.6%,1.4%,1.4%
Research and development credit,(1.1)%,(0.9)%,(0.9)%
Excess tax benefits relating to stock-based compensation,(0.7)%,(1.9)%,(2.4)%
"Interest, net",0.8%,0.5%,0.5%
"Other reconciling items, net",0.5%,(0.7)%,(1.8)%
Effective rate,19.0%,13.1%,13.8%
