0,1,2,3,4,5
"Year Ended June 30,",2023,nan,2022,nan,2021
Server products and cloud services $,"79,970",$,"67,350",$,"52,589"
Office products and cloud services,"48,728",nan,"44,862",nan,"39,872"
Windows,"21,507",nan,"24,732",nan,"22,488"
Gaming,"15,466",nan,"16,230",nan,"15,370"
LinkedIn,"15,145",nan,"13,816",nan,"10,289"
Search and news advertising,"12,208",nan,"11,591",nan,"9,267"
Enterprise Services,"7,722",nan,"7,407",nan,"6,943"
Devices,"5,521",nan,"7,306",nan,"7,143"
Dynamics,"5,437",nan,"4,687",nan,"3,754"
Other,211,nan,289,nan,373
"Total $211,915",nan,"$ 198,270",nan,"$ 168,088",nan
"Our Microsoft Cloud revenue, which includes Azure and other cloud services, Office 365 Commercial, the",nan,nan,nan,nan,nan
"commercial portion of LinkedIn, Dynamics 365, and other commercial cloud properties, was $111.6",nan,nan,nan,nan,nan
"billion, $91.4 billion, and $69.1 billion in fiscal years 2023, 2022, and 2021, respectively. These amounts",nan,nan,nan,nan,nan
"are primarily included in Server products and cloud services, Office",products,nan,and cloud,nan,"services,"
"LinkedIn, and Dynamics in the table above.",nan,nan,nan,nan,nan
Assets are not allocated to segments for internal reporting presentations. A portion of amortization and,nan,nan,nan,nan,nan
depreciation is included with various other costs in an overhead allocation to each segment. It is,nan,nan,nan,nan,nan
impracticable for us to separately identify the amount of amortization and depreciation by segment that,nan,nan,nan,nan,nan
is included in the measure of segment profit or loss.,nan,nan,nan,nan,nan
"Long-lived assets, excluding financial instruments and tax assets, classified by the location of the",nan,nan,nan,nan,nan
"controlling statutory company and with countries over 10% of the total shown separately, were as",nan,nan,nan,nan,nan
follows:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"June 30,",2023,nan,2022,nan,2021
"United States $114,380",nan,"$ 106,430",nan,$,"76,153"
Ireland,"16,359",nan,"15,505",nan,"13,303"
Other countries,"56,500",nan,"44,433",nan,"38,858"
"Total $187,239",nan,"$ 166,368",nan,"$ 128,314",nan
