0,1,3,4,5,6
(In millions),nan,nan,nan,nan,nan
"Year Ended June 30,",2023,nan,2022,nan,2021
"Balance, beginning of period  $",710,$,798,$,816
Charged to costs and other,258,nan,157,nan,234
Write-offs,(252),nan,(245 ),nan,(252 )
"Balance, end of period  $",716,$,710,$,798
Allowance for doubtful accounts included in our consolidated balance sheets:,nan,nan,nan,nan,nan
(In millions),nan,nan,nan,nan,nan
"June 30,",2023,nan,2022,nan,2021
"Accounts receivable, net of allowance for doubtful accounts  $",650,$,633,$,751
Other long-term assets,66,nan,77,nan,47
Total  $,716,$,710,$,798
