0,1,2,3,4,5,6
"(In millions, except per share amounts)",nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2023,nan,2022,nan,2021
Revenue:,nan,nan,nan,nan,nan,nan
Product,$,"64,699",$,"72,732",$,"71,074"
Service and other,nan,"147,216",nan,"125,538",nan,"97,014"
Total revenue,nan,"211,915",nan,"198,270",nan,"168,088"
Cost of revenue:,nan,nan,nan,nan,nan,nan
Product,nan,"17,804",nan,"19,064",nan,"18,219"
Service and other,nan,"48,059",nan,"43,586",nan,"34,013"
Total cost of revenue,nan,"65,863",nan,"62,650",nan,"52,232"
Gross margin,nan,"146,052",nan,"135,620",nan,"115,856"
Research and development,nan,"27,195",nan,"24,512",nan,"20,716"
Sales and marketing,nan,"22,759",nan,"21,825",nan,"20,117"
General and administrative,nan,"7,575",nan,"5,900",nan,"5,107"
Operating income,nan,"88,523",nan,"83,383",nan,"69,916"
"Other income, net",nan,788,nan,333,nan,"1,186"
Income before income taxes,nan,"89,311",nan,"83,716",nan,"71,102"
Provision for income taxes,nan,"16,950",nan,"10,978",nan,"9,831"
Net income,$,"72,361",$,"72,738",$,"61,271"
Earnings per share:,nan,nan,nan,nan,nan,nan
Basic,$,9.72,$,9.70,$,8.12
Diluted,$,9.68,$,9.65,$,8.05
Weighted average shares outstanding:,nan,nan,nan,nan,nan,nan
Basic,nan,"7,446",nan,"7,496",nan,"7,547"
Diluted,nan,"7,472",nan,"7,540",nan,"7,608"
