0,1,2,3,4,5,6
"(In millions, except per share amounts)",nan,nan,nan,nan,nan,nan
"Year Ended June 30,",nan,2023,nan,2022,nan,2021
Common stock and paid-in capital,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"86,939",$,"83,111",$,"80,552"
Common stock issued,nan,"1,866",nan,"1,841",nan,"1,963"
Common stock repurchased,nan,"(4,696)",nan,"(5,688 )",nan,"(5,539 )"
Stock-based compensation expense,nan,"9,611",nan,"7,502",nan,"6,118"
"Other, net",nan,(2),nan,173,nan,17
"Balance, end of period",nan,"93,718",nan,"86,939",nan,"83,111"
Retained earnings,nan,nan,nan,nan,nan,nan
"Balance, beginning of period",nan,"84,281",nan,"57,055",nan,"34,566"
Net income,nan,"72,361",nan,"72,738",nan,"61,271"
Common stock cash dividends,nan,"(20,226)",nan,"(18,552)",nan,"(16,871)"
Common stock repurchased,nan,"(17,568)",nan,"(26,960)",nan,"(21,879)"
Cumulative effect of accounting changes,nan,0,nan,0,nan,(32 )
"Balance, end of period",nan,"118,848",nan,"84,281",nan,"57,055"
Accumulated other comprehensive income (loss),nan,nan,nan,nan,nan,nan
"Balance, beginning of period",nan,"(4,678)",nan,"1,822",nan,"3,186"
Other comprehensive loss,nan,"(1,665)",nan,"(6,500 )",nan,"(1,374 )"
Cumulative effect of accounting changes,nan,0,nan,0,nan,10
"Balance, end of period",nan,"(6,343)",nan,"(4,678 )",nan,"1,822"
Total stockholders’ equity,"$ 206,223",nan,$,"166,542",$,"141,988"
Cash dividends declared per common share,$,2.72,$,2.48,$,2.24
