0,1,2,3,4
(In millions),nan,nan,nan,nan
"June 30,",nan,2023,nan,2022
Productivity and Business Processes,$,"27,572",$,"24,558"
Intelligent Cloud,nan,"21,563",nan,"19,371"
More Personal Computing,nan,"4,678",nan,"4,479"
Total,$,"53,813",$,"48,408"
Changes in unearned revenue were as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Year Ended June 30, 2023",nan,nan,nan,nan
"Balance, beginning of period",nan,nan,$,"48,408"
Deferral of revenue,nan,nan,nan,"123,93"
nan,nan,nan,nan,5
Recognition of unearned revenue,nan,nan,nan,"(118,53"
nan,nan,nan,nan,0 )
"Balance, end of period",nan,nan,$,"53,813"
