0,1,2,3,4
(In millions),nan,2023,nan,2022
Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts purchased,$,"1,492",$,635
Interest rate contracts purchased,nan,"1,078",nan,"1,139"
Not Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts purchased,nan,"7,874",nan,"10,322"
Foreign exchange contracts sold,nan,"25,159",nan,"21,606"
Equity contracts purchased,nan,"3,867",nan,"1,131"
Equity contracts sold,nan,"2,154",nan,0
Other contracts purchased,nan,"1,224",nan,"1,642"
Other contracts sold,nan,581,nan,544
Fair Values of Derivative Instruments,nan,nan,nan,nan
The following table presents our derivative instruments:,nan,nan,nan,nan
(In millions) Derivative  Derivative,nan,Derivative,nan,Derivative
Assets Liabilities,nan,Assets,nan,Liabilities
"June 30,",nan,nan,nan,"June 30,"
2023,nan,nan,nan,2022
Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts  $ 34   $ (67),$,0,$,(77)
Interest rate contracts 160,nan,3,nan,0
Not Designated as Hedging Instruments,nan,nan,nan,nan
Foreign exchange contracts 249  (332),nan,333,nan,(362 )
Equity contracts 165  (400),nan,5,nan,(95 )
Other contracts 5  (6),nan,15,nan,(17 )
Gross amounts of derivatives 469  (805),nan,356,nan,(551 )
Gross amounts of derivatives offset in the balance (202)  206,nan,(130 ),nan,133
sheet,nan,nan,nan,nan
Cash collateral received 0  (125),nan,0,nan,(75 )
Net amounts of derivatives  $ 267  $ (724)  $,nan,226,$,(493)
Reported as,nan,nan,nan,nan
Short-term investments  $ 6  $ 0,$,8,$,0
Other current assets 2450,nan,218,nan,0
Other long-term assets 160,nan,0,nan,0
Other current liabilities 0(341),nan,0,nan,(298 )
Other long-term liabilities 0(383),nan,0,nan,(195 )
Total  $ 267  $ (724),$,226,$,(493)
Gross derivative assets and liabilities subject to legally enforceable master netting agreements for which,nan,nan,nan,nan
"we have elected to offset were $442 million and $804 million, respectively, as of June 30, 2023, an",nan,nan,nan,nan
"$343 million and $550 million, respectively, as of June 30, 2022.",nan,nan,nan,nan
The following table presents the fair value of our derivatives instruments on a gross basis:,nan,nan,nan,nan
(In millions) Level 1  Level 2,nan,Level 3,nan,Total
"June 30, 2023",nan,nan,nan,nan
Derivative assets  $ 0   $ 462   $,nan,7,$,469
Derivative liabilities 0  (805),nan,0,nan,(805)
"June 30, 2022",nan,nan,nan,nan
Derivative assets 1  349,nan,6,nan,356
Derivative liabilities 0  (551 ),nan,0,nan,(551 )
