0,2,4,5,6
"Year Ended June 30,",2023,2022,nan,2021
Realized gains from sales of available-for-sale securities  $,36   $,162,$,105
Realized losses from sales of available-for-sale securities,(124),(138 ),nan,(40 )
Impairments and allowance for credit losses,(10),(81 ),nan,(2 )
Total  $,(98)  $,(57),$,63
Net recognized gains (losses) on equity investments were as follows:,nan,nan,nan,nan
(In millions),nan,nan,nan,nan
"Year Ended June 30,",2023,2022,nan,2021
Net realized gains on investments sold  $,75   $,29,$,123
Net unrealized gains on investments still held,303,509,nan,"1,057"
Impairments of investments,(20),(20 ),nan,(11 )
Total  $,358  $,518,$,"1,169"
