0,1,2,3,4,5,6
nan,nan,Three Months Ended,Percentage,nan,Six Months Ended,Percentage
"(In millions, except percentages)",nan,"December 31,",Change,nan,"December 31,",Change
nan,nan,2023  2022,nan,nan,2023  2022,nan
Revenue,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"19,249  $ 17,002",13%,$,"37,841  $ 33,467",13%
Intelligent Cloud,nan,"25,880  21,508",20%,nan,"50,139  41,833",20%
More Personal Computing,nan,"16,891  14,237",19%,nan,"30,557  27,569",11%
Total,$,"62,020  $ 52,747",18%,$,"118,537  $ 102,869",15%
Operating Income,nan,nan,nan,nan,nan,nan
Productivity and Business Processes,$,"10,284  $ 8,175",26%,$,"20,254  $ 16,498",23%
Intelligent Cloud,nan,"12,461  8,904",40%,nan,"24,212  17,882",35%
More Personal Computing,nan,"4,287  3,320",29%,nan,"9,461  7,537",26%
Total,$,"27,032  $ 20,399",33%,$,"53,927  $ 41,917",29%
