0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"December 31, 2023",nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Changes in Fair Value,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Other,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comprehensive Income,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Commercial paper,Level 2  $,"4,577",$,0.0,$,0,$,"4,577",$,"4,574",$,3,$,0
Certificates of deposit,Level 2,"2,973",nan,0.0,nan,0,nan,"2,973",nan,"2,931",nan,42,nan,0
U.S. government,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 1,"54,775",nan,11.0,nan,"(2,848 )",nan,"51,938",nan,0,nan,"51,938",nan,0
U.S. agency,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
securities,Level 2,24,nan,0.0,nan,0,nan,24,nan,0,nan,24,nan,0
Foreign government,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,420,nan,4.0,nan,(12 ),nan,412,nan,7,nan,405,nan,0
Mortgage- and asset-,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
backed securities,Level 2,926,nan,5.0,nan,(31 ),nan,900,nan,0,nan,900,nan,0
Corporate notes and,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 2,"10,164",nan,63.0,nan,(349 ),nan,"9,878",nan,0,nan,"9,878",nan,0
Corporate notes and,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bonds,Level 3,129,nan,0.0,nan,0,nan,129,nan,0,nan,129,nan,0
Municipal securities,Level 2,282,nan,1.0,nan,(13 ),nan,270,nan,0,nan,270,nan,0
Municipal securities,Level 3,104,nan,0.0,nan,(16 ),nan,88,nan,0,nan,88,nan,0
Total debt,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,$,"74,374",$,84.0,$,"(3,269 )",$,"71,189",$,"7,512",$,"63,677",$,0
Changes in Fair Value,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Recorded in Net Income,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equity investments,Level 1,nan,nan,,nan,nan,$,"3,276",$,257,$,0,$,"3,019"
Equity investments,Other,nan,nan,,nan,nan,nan,"10,348",nan,0,nan,0,nan,"10,348"
Total equity,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
investments,nan,nan,nan,,nan,nan,$,"13,624",$,257,$,0,$,"13,367"
Cash,nan,nan,nan,,nan,nan,$,"9,536",$,"9,536",$,0,$,0
"Derivatives, net (a)",nan,nan,nan,,nan,nan,nan,35,nan,0,nan,35,nan,0
Total,nan,nan,nan,,nan,nan,$,"94,384",$,"17,305",$,"63,712",$,"13,367"
