0,1,2,3,4,5
ASSETS:,nan,nan,nan,nan,nan
Current assets:,nan,nan,nan,nan,nan
Cash and cash equivalents,$,"40,760",nan,$,"29,965"
Marketable securities,"32,340",nan,"31,590",nan,nan
"Accounts receivable, net","23,194",nan,"29,508",nan,nan
Vendor non-trade receivables,"26,908",nan,"31,477",nan,nan
Inventories,"6,511",nan,"6,331",nan,nan
Other current assets,"13,979",nan,"14,695",nan,nan
Total current assets,"143,692",nan,"143,566",nan,nan
Non-current assets:,nan,nan,nan,nan,nan
Marketable securities,"99,475",nan,"100,544",nan,nan
"Property, plant and equipment, net","43,666",nan,"43,715",nan,nan
Other non-current assets,"66,681",nan,"64,758",nan,nan
Total non-current assets,"209,822",nan,"209,017",nan,nan
Total assets,$,"353,514",nan,$,"352,583"
LIABILITIES AND SHAREHOLDERS’ EQUITY:,nan,nan,nan,nan,nan
Current liabilities:,nan,nan,nan,nan,nan
Accounts payable,$,"58,146",nan,$,"62,611"
Other current liabilities,"54,611",nan,"58,829",nan,nan
Deferred revenue,"8,264",nan,"8,061",nan,nan
Commercial paper,"1,998",nan,"5,985",nan,nan
Term debt,"10,954",nan,"9,822",nan,nan
Total current liabilities,"133,973",nan,"145,308",nan,nan
Non-current liabilities:,nan,nan,nan,nan,nan
Term debt,"95,088",nan,"95,281",nan,nan
Other non-current liabilities,"50,353",nan,"49,848",nan,nan
Total non-current liabilities,"145,441",nan,"145,129",nan,nan
Total liabilities,"279,414",nan,"290,437",nan,nan
Commitments and contingencies,nan,nan,nan,nan,nan
Shareholders’ equity:,nan,nan,nan,nan,nan
"Common stock and additional paid-in capital, $0.00001 par value: 50,400,000 sharesauthorized; 15,460,223 and 15,550,061 shares issued and outstanding, respectively","75,236",nan,"73,812",nan,nan
Retained earnings/(Accumulated deficit),"8,242",nan,(214),nan,nan
Accumulated other comprehensive loss,"(9,378)",nan,"(11,452)",nan,nan
Total shareholders’ equity,"74,100",nan,"62,146",nan,nan
Total liabilities and shareholders’ equity,$,"353,514",nan,$,"352,583"
